,Job_title,Annual_salary,Age,Sex,Race,Experience_years
72,Trooper,75967.92,46,M,WHITE,19.33509928335284
73,Trooper,72612.96,38,M,WHITE,17.221435073957714
74,Trooper,72612.96,40,M,BLACK,17.840202057537116
75,Trooper,72612.96,54,M,HISPA,15.937356687680102
76,Trooper,79323.0,47,F,WHITE,23.277685373416293
77,Trooper,53241.96,30,F,WHITE,3.98091678816129
78,Trooper,79323.0,49,M,HISPA,25.862269588013444
79,Trooper,64918.92,33,F,HISPA,4.805026797264831
80,Trooper,69540.96,43,M,WHITE,10.516300813842857
81,"Sergeant, Public Safety",77638.92,33,M,HISPA,12.260347577294537
82,Trooper,64918.92,30,M,WHITE,7.945406134280649
83,Trooper,53241.96,27,M,WHITE,3.98091678816129
84,"Sergeant, Public Safety",84390.96,40,M,HISPA,19.33509928335284
85,Trooper,53241.96,25,M,HISPA,4.977514938705107
86,Trooper,64918.92,48,M,WHITE,3.6167751562318187
87,Trooper,72612.96,54,M,WHITE,17.840202057537116
88,Trooper,64918.92,34,M,BLACK,7.945406134280649
89,Trooper,79323.0,56,M,WHITE,13.087195493405067
90,Probationary Trooper,44082.0,23,M,WHITE,2.9843186376174735
91,Trooper,64918.92,33,M,HISPA,6.970711239792741
92,Trooper,69540.96,43,M,HISPA,13.946898293599459
93,Trooper,53241.96,25,M,HISPA,4.977514938705107
94,Trooper,79323.0,48,M,HISPA,25.17231702225234
95,Trooper,53241.96,25,M,HISPA,4.479215863433199
96,Trooper,69540.96,43,M,WHITE,12.260347577294537
97,Trooper,53241.96,28,M,BLACK,3.808428646721014
98,Corporal,75967.92,48,M,WHITE,18.56300950738208
99,"Sergeant, Public Safety",84390.96,40,M,WHITE,22.204425826676797
100,Trooper,53241.96,26,M,HISPA,4.977514938705107
101,Trooper,53241.96,29,M,HISPA,4.805026797264831
102,"Sergeant, Public Safety",77638.92,34,M,HISPA,12.758646652566446
103,Trooper,53241.96,32,M,HISPA,3.808428646721014
104,"Lieutenant, Public Safety",95191.92,47,M,HISPA,23.277685373416293
105,Trooper,72612.96,51,M,HISPA,18.19886787545261
106,Trooper,79323.0,64,M,WHITE,17.254289958041575
107,"Lieutenant, Public Safety",95191.92,48,M,WHITE,23.274947466409305
108,"Sergeant, Public Safety",86494.92,51,M,WHITE,22.45357536431275
109,Trooper,64918.92,35,M,BLACK,4.479215863433199
110,Trooper,64918.92,29,M,HISPA,9.37733149893564
111,"Sergeant, Public Safety",77638.92,32,M,WHITE,11.26374942675072
112,Trooper,53241.96,28,M,BLACK,5.974113089248924
113,Corporal,75967.92,47,M,WHITE,18.58765067044498
114,Trooper,53241.96,31,M,WHITE,4.306727721992923
115,Trooper,53241.96,32,F,WHITE,3.4826177128893816
116,Trooper,53241.96,35,M,WHITE,5.475814013977015
117,Trooper,64918.92,28,M,HISPA,6.472412164520832
118,Trooper,53241.96,29,F,WHITE,4.977514938705107
119,"Sergeant, Public Safety",86494.92,51,M,HISPA,23.277685373416293
120,Trooper,53241.96,31,M,HISPA,4.805026797264831
121,Corporal,75967.92,40,M,HISPA,18.98464718645831
122,Trooper,53241.96,31,M,HISPA,3.808428646721014
123,Trooper,72612.96,38,M,HISPA,16.91752739618199
124,Trooper,69540.96,38,M,HISPA,13.946898293599459
125,Trooper,53241.96,43,M,BLACK,5.475814013977015
126,Trooper,64918.92,37,M,WHITE,7.945406134280649
127,Trooper,53241.96,25,M,WHITE,4.306727721992923
128,Trooper,75967.92,48,M,WHITE,22.204425826676797
129,Trooper,72612.96,46,M,WHITE,16.244002272462815
130,Trooper,69540.96,32,M,HISPA,10.401308719549341
131,Trooper,64918.92,28,M,HISPA,7.469010315064649
132,Trooper,79323.0,47,M,WHITE,25.862269588013444
133,Trooper,53241.96,23,M,WHITE,3.808428646721014
134,Trooper,72612.96,46,M,WHITE,17.840202057537116
135,Trooper,72612.96,39,M,WHITE,16.244002272462815
136,Trooper,64918.92,31,M,WHITE,6.970711239792741
137,Trooper,64918.92,29,M,WHITE,7.469010315064649
138,"Sergeant, Public Safety",84390.96,40,M,WHITE,18.98464718645831
139,Trooper,75967.92,49,M,WHITE,19.33509928335284
140,Trooper,75967.92,47,M,BLACK,20.287890921784843
141,"Sergeant, Public Safety",72711.0,37,M,WHITE,9.826348248081754
142,Trooper,79323.0,61,M,WHITE,14.505431323025114
143,"Sergeant, Public Safety",84390.96,45,M,WHITE,19.233796724094265
144,Trooper,53241.96,23,M,WHITE,3.98091678816129
145,Trooper,53241.96,25,M,HISPA,4.479215863433199
146,Trooper,79323.0,47,M,HISPA,23.96490003217041
147,Trooper,69540.96,56,M,HISPA,13.916781316522584
148,Trooper,64918.92,28,M,WHITE,7.945406134280649
149,Trooper,72612.96,40,M,WHITE,17.840202057537116
150,Trooper,72612.96,41,M,WHITE,11.79490338610649
151,Trooper,53241.96,35,M,HISPA,4.977514938705107
152,Trooper,53241.96,23,M,HISPA,4.306727721992923
153,Corporal,69540.96,35,M,WHITE,12.758646652566446
154,Trooper,72612.96,48,M,WHITE,17.221435073957714
155,Trooper,53241.96,28,M,HISPA,5.974113089248924
156,Trooper,53241.96,34,M,WHITE,4.306727721992923
157,"Sergeant, Public Safety",77638.92,32,M,WHITE,11.395168963086169
158,"Sergeant, Public Safety",77638.92,48,F,WHITE,10.516300813842857
159,Trooper,72612.96,40,M,WHITE,17.840202057537116
160,Trooper,69540.96,47,M,WHITE,13.946898293599459
161,Corporal,69540.96,38,M,BLACK,11.762048502022628
162,"Sergeant, Public Safety",84390.96,41,M,WHITE,18.58765067044498
163,Trooper,69540.96,40,M,HISPA,12.890066188901894
164,Trooper,53241.96,33,M,HISPA,4.977514938705107
165,Trooper,53241.96,27,M,HISPA,4.805026797264831
166,"Sergeant, Public Safety",77638.92,43,M,HISPA,13.916781316522584
167,"Sergeant, Public Safety",86494.92,50,F,WHITE,26.95469448380186
168,Trooper,53241.96,28,M,WHITE,4.479215863433199
169,Trooper,72612.96,49,M,WHITE,17.298096470153393
170,Trooper,69540.96,40,M,HISPA,20.78618999705675
171,Trooper,72612.96,42,M,HISPA,17.840202057537116
172,Trooper,64918.92,28,M,WHITE,7.945406134280649
173,Trooper,79323.0,56,M,WHITE,27.962244262373627
174,Trooper,69540.96,37,M,WHITE,12.260347577294537
175,Trooper,79323.0,66,M,WHITE,12.671033628342814
176,Trooper,64918.92,42,M,WHITE,6.472412164520832
177,Trooper,69540.96,35,M,WHITE,13.946898293599459
178,Corporal,72612.96,42,M,WHITE,17.840202057537116
179,Trooper,53241.96,25,M,WHITE,4.306727721992923
180,Trooper,53241.96,31,F,WHITE,3.808428646721014
181,Trooper,72612.96,53,M,WHITE,17.840202057537116
182,Trooper,75967.92,42,M,WHITE,21.26532372327974
183,Trooper,79323.0,47,M,WHITE,27.26134006858457
184,"Sergeant, Public Safety",84390.96,50,M,WHITE,22.204425826676797
185,"Sergeant, Public Safety",72711.0,31,M,HISPA,10.401308719549341
186,"Sergeant, Public Safety",72711.0,31,M,HISPA,7.945406134280649
187,Trooper,64918.92,28,M,WHITE,7.469010315064649
188,Probationary Trooper,44082.0,33,M,WHITE,2.9843186376174735
189,Corporal,75967.92,46,M,WHITE,18.98464718645831
190,Trooper,69540.96,34,M,WHITE,10.4588047666961
191,Trooper,72612.96,38,M,WHITE,14.828504349849757
192,Trooper,64918.92,30,M,HISPA,8.443705209552558
193,Trooper,64918.92,31,M,WHITE,6.970711239792741
194,Trooper,79323.0,48,M,BLACK,25.862269588013444
195,Trooper,79323.0,47,M,WHITE,23.96490003217041
196,Trooper,64918.92,33,M,BLACK,3.808428646721014
197,Corporal,69540.96,33,M,WHITE,13.946898293599459
198,Trooper,53241.96,46,M,WHITE,4.553139352621888
199,Trooper,79323.0,52,M,HISPA,26.073088427551557
200,"Sergeant, Public Safety",84390.96,50,M,HISPA,20.287890921784843
201,Trooper,64918.92,30,M,HISPA,8.936528470810488
202,Trooper,53241.96,26,M,HISPA,5.974113089248924
203,Trooper,72612.96,46,M,WHITE,15.937356687680102
204,Probationary Trooper,44082.0,33,M,HISPA,2.9843186376174735
205,Trooper,64918.92,38,M,BLACK,9.37733149893564
206,Trooper,64918.92,30,M,WHITE,8.443705209552558
207,Trooper,72612.96,49,M,WHITE,15.937356687680102
208,"Sergeant, Public Safety",84390.96,44,M,WHITE,18.98464718645831
209,Trooper,79323.0,54,M,BLACK,25.862269588013444
210,Trooper,64918.92,29,M,WHITE,5.533310061123774
211,Trooper,75967.92,50,M,WHITE,22.204425826676797
212,Trooper,53241.96,25,M,WHITE,4.479215863433199
213,Trooper,69540.96,36,M,WHITE,12.260347577294537
214,"Captain, Public Safety",102264.96,33,M,HISPA,13.177546424635688
215,Trooper,53241.96,25,M,WHITE,5.475814013977015
216,Trooper,64918.92,40,M,WHITE,4.805026797264831
217,"Sergeant, Public Safety",80820.96,58,M,WHITE,16.244002272462815
218,Trooper,53241.96,26,M,WHITE,4.805026797264831
219,Trooper,64918.92,32,M,BLACK,7.469010315064649
220,Trooper,79323.0,71,M,WHITE,17.254289958041575
221,Trooper,64918.92,35,M,WHITE,7.469010315064649
222,Trooper,64918.92,36,M,BLACK,6.970711239792741
223,Trooper,53241.96,26,M,WHITE,3.98091678816129
224,Trooper,75967.92,40,M,BLACK,21.26532372327974
225,Trooper,53241.96,52,M,WHITE,3.808428646721014
226,Trooper,64918.92,30,F,HISPA,6.970711239792741
227,Trooper,72612.96,43,M,WHITE,14.828504349849757
228,Corporal,69540.96,46,M,WHITE,13.256945727838353
229,Trooper,64918.92,38,M,BLACK,7.469010315064649
230,"Lieutenant, Public Safety",89073.96,40,M,WHITE,14.828504349849757
231,Trooper,69540.96,34,M,WHITE,11.395168963086169
232,Trooper,64918.92,37,M,WHITE,6.472412164520832
233,Corporal,69540.96,34,M,BLACK,13.369199915124883
234,Trooper,64918.92,33,M,WHITE,4.479215863433199
235,Trooper,64918.92,29,F,HISPA,4.306727721992923
236,Trooper,72612.96,37,M,HISPA,17.840202057537116
237,Trooper,53241.96,24,M,BLACK,4.306727721992923
238,Trooper,53241.96,23,F,HISPA,3.4826177128893816
239,Trooper,53241.96,34,M,WHITE,3.98091678816129
240,Trooper,72612.96,57,M,WHITE,16.91752739618199
241,Trooper,64918.92,33,M,HISPA,3.4826177128893816
242,Trooper,64918.92,38,M,WHITE,3.6167751562318187
243,Trooper,64918.92,31,M,WHITE,7.945406134280649
244,Trooper,53241.96,31,M,WHITE,4.306727721992923
245,Trooper,53241.96,24,M,WHITE,3.808428646721014
246,Trooper,53241.96,28,M,WHITE,5.475814013977015
247,Trooper,69540.96,45,M,WHITE,13.256945727838353
248,Corporal,72612.96,44,M,WHITE,14.828504349849757
249,Trooper,69540.96,37,F,WHITE,12.985892934146491
250,Trooper,53241.96,49,M,HISPA,4.977514938705107
251,Trooper,53241.96,25,M,WHITE,3.4826177128893816
252,Trooper,53241.96,44,F,WHITE,4.805026797264831
253,Trooper,53241.96,29,M,WHITE,5.974113089248924
254,Probationary Trooper,44082.0,26,M,WHITE,2.9843186376174735
255,Trooper,53241.96,27,M,WHITE,4.805026797264831
256,Trooper,53241.96,26,M,WHITE,3.4826177128893816
257,"Sergeant, Public Safety",86494.92,48,M,HISPA,23.96490003217041
258,"Lieutenant, Public Safety",92859.96,53,M,BLACK,19.33509928335284
259,Trooper,53241.96,29,F,WHITE,3.4826177128893816
260,Trooper,69540.96,37,M,WHITE,13.256945727838353
261,Trooper,53241.96,26,M,WHITE,4.805026797264831
262,Corporal,69540.96,35,M,HISPA,13.10088502844001
263,Trooper,72612.96,58,M,HISPA,15.937356687680102
264,Trooper,53241.96,34,M,WHITE,4.977514938705107
265,Trooper,64918.92,36,M,WHITE,7.469010315064649
266,Trooper,53241.96,26,M,WHITE,5.475814013977015
267,Corporal,69540.96,38,M,WHITE,13.256945727838353
268,Trooper,53241.96,24,M,WHITE,4.805026797264831
269,Trooper,53241.96,29,M,WHITE,3.808428646721014
270,Trooper,53241.96,28,M,WHITE,5.475814013977015
271,"Sergeant, Public Safety",86494.92,50,M,WHITE,22.45357536431275
272,Trooper,75967.92,44,M,WHITE,22.204425826676797
273,Trooper,53241.96,25,M,WHITE,4.977514938705107
274,Trooper,64918.92,30,M,AMIND,8.936528470810488
275,Trooper,72612.96,50,M,BLACK,16.91752739618199
276,Trooper,53241.96,29,M,BLACK,5.475814013977015
277,Trooper,69540.96,34,M,BLACK,11.26374942675072
278,Trooper,79323.0,48,M,WHITE,27.26134006858457
279,Trooper,64918.92,48,M,BLACK,8.443705209552558
280,"Major, Public Safety",116473.92,46,M,WHITE,26.95469448380186
281,"Sergeant, Public Safety",84390.96,44,M,BLACK,10.357502207437525
282,"Sergeant, Public Safety",80820.96,50,M,WHITE,14.828504349849757
283,Trooper,53241.96,23,M,WHITE,4.805026797264831
284,Trooper,53241.96,30,M,WHITE,4.306727721992923
285,Trooper,79323.0,48,M,WHITE,25.17231702225234
286,Trooper,75967.92,50,M,BLACK,21.26532372327974
287,"Sergeant, Public Safety",72711.0,43,M,WHITE,10.094663134766627
288,"Lieutenant, Public Safety",92859.96,39,M,WHITE,18.56300950738208
289,Trooper,75967.92,63,M,WHITE,20.287890921784843
290,"Sergeant, Public Safety",86494.92,47,M,HISPA,22.45357536431275
291,"Sergeant, Public Safety",77638.92,35,M,HISPA,12.758646652566446
292,Trooper,79323.0,58,M,WHITE,4.380651211181612
293,Trooper,79323.0,52,M,WHITE,30.768598944536848
294,"Lieutenant, Public Safety",95191.92,52,M,WHITE,30.768598944536848
295,Trooper,64918.92,27,M,WHITE,6.472412164520832
296,Trooper,53241.96,25,M,WHITE,3.808428646721014
297,Trooper,53241.96,26,M,WHITE,5.475814013977015
298,Trooper,64918.92,27,M,WHITE,7.469010315064649
299,Trooper,64918.92,28,M,WHITE,9.37733149893564
300,Corporal,79323.0,46,M,WHITE,22.45357536431275
301,Trooper,64918.92,51,M,WHITE,6.970711239792741
302,Trooper,69540.96,38,M,WHITE,10.401308719549341
303,Trooper,64918.92,28,M,WHITE,4.977514938705107
304,Trooper,69540.96,38,M,WHITE,10.516300813842857
305,Trooper,72612.96,43,M,ASIAN,15.937356687680102
306,Trooper,53241.96,23,M,HISPA,4.479215863433199
307,Trooper,69540.96,42,M,HISPA,13.946898293599459
308,Trooper,64918.92,35,M,HISPA,5.533310061123774
309,Trooper,79323.0,53,M,WHITE,26.754827272291696
310,Trooper,69540.96,34,M,HISPA,10.516300813842857
311,Trooper,69540.96,33,M,WHITE,13.256945727838353
312,"Sergeant, Public Safety",84390.96,49,M,WHITE,21.26532372327974
313,Trooper,72612.96,41,M,WHITE,14.828504349849757
314,Trooper,69540.96,33,M,WHITE,11.529326406428606
315,Trooper,72612.96,42,M,WHITE,17.221435073957714
316,Trooper,79323.0,64,M,BLACK,15.83331622141454
317,Trooper,64918.92,30,M,BLACK,4.479215863433199
318,Trooper,53241.96,27,M,WHITE,4.977514938705107
319,Trooper,53241.96,26,M,WHITE,3.98091678816129
320,Trooper,64918.92,30,M,BLACK,8.443705209552558
321,Trooper,53241.96,25,F,HISPA,4.977514938705107
322,Trooper,64918.92,31,M,WHITE,5.533310061123774
323,Trooper,64918.92,29,M,WHITE,3.4826177128893816
324,Trooper,64918.92,27,M,WHITE,7.159626823274947
325,Trooper,72612.96,39,M,WHITE,17.221435073957714
326,Corporal,79323.0,58,M,WHITE,25.17231702225234
327,Trooper,72612.96,41,M,BLACK,15.937356687680102
328,Trooper,75967.92,48,M,WHITE,18.56300950738208
329,Trooper,79323.0,50,M,BLACK,31.305228717906598
330,Trooper,53241.96,26,M,WHITE,4.977514938705107
331,"Sergeant, Public Safety",77638.92,50,M,WHITE,13.256945727838353
332,Trooper,69540.96,47,F,ASIAN,11.419810126149065
333,Trooper,53241.96,26,M,HISPA,3.808428646721014
334,Trooper,75967.92,60,M,WHITE,18.58765067044498
335,Trooper,72612.96,41,M,WHITE,17.840202057537116
336,Trooper,53241.96,37,M,WHITE,5.974113089248924
337,Probationary Trooper,44082.0,25,M,BLACK,2.9843186376174735
338,"Sergeant, Public Safety",84390.96,44,M,WHITE,20.901182091350268
339,Trooper,64918.92,30,M,WHITE,6.472412164520832
340,Corporal,72612.96,38,M,HISPA,17.840202057537116
341,Trooper,64918.92,30,M,WHITE,8.936528470810488
342,Corporal,79323.0,53,M,WHITE,31.305228717906598
343,Trooper,53241.96,24,M,WHITE,4.977514938705107
344,Trooper,53241.96,25,M,WHITE,5.974113089248924
345,Trooper,64918.92,37,M,BLACK,6.970711239792741
346,Trooper,69540.96,34,M,ASIAN,12.525924556972422
347,Trooper,53241.96,26,M,WHITE,5.974113089248924
348,Trooper,75967.92,49,M,WHITE,22.204425826676797
349,Trooper,72612.96,45,M,WHITE,17.840202057537116
350,Trooper,75967.92,53,M,WHITE,21.26532372327974
351,Trooper,53241.96,24,M,BLACK,3.808428646721014
352,Trooper,75967.92,42,M,WHITE,18.98464718645831
353,Corporal,79323.0,62,M,BLACK,14.42055620580847
354,"Sergeant, Public Safety",84390.96,53,M,BLACK,18.58765067044498
355,Trooper,72612.96,37,M,WHITE,18.19886787545261
356,Trooper,53241.96,24,M,WHITE,4.977514938705107
357,Trooper,53241.96,25,M,WHITE,4.306727721992923
358,Trooper,53241.96,26,M,ASIAN,3.808428646721014
359,Trooper,53241.96,47,M,WHITE,4.805026797264831
360,Trooper,53241.96,26,M,HISPA,4.306727721992923
361,Trooper,53241.96,25,M,WHITE,5.974113089248924
362,Trooper,79323.0,48,M,BLACK,25.17231702225234
363,Trooper,72612.96,44,M,HISPA,14.828504349849757
364,Trooper,53241.96,29,M,WHITE,4.457312607377291
365,Trooper,79323.0,49,M,WHITE,26.073088427551557
366,"Sergeant, Public Safety",86494.92,56,M,WHITE,34.56060014921593
367,Trooper,75967.92,47,M,BLACK,18.58765067044498
368,Trooper,53241.96,30,M,WHITE,4.479215863433199
369,Trooper,75967.92,50,M,HISPA,22.204425826676797
370,Trooper,79323.0,55,M,HISPA,25.16957911524535
371,Trooper,53241.96,31,M,WHITE,5.974113089248924
372,Trooper,53241.96,27,F,HISPA,3.808428646721014
373,Trooper,53241.96,33,M,HISPA,3.808428646721014
374,Corporal,75967.92,60,M,HISPA,21.26532372327974
375,Trooper,53241.96,37,M,HISPA,3.98091678816129
376,Trooper,79323.0,49,M,WHITE,23.96490003217041
377,Trooper,72612.96,42,M,WHITE,17.840202057537116
378,Trooper,69540.96,58,M,WHITE,7.48543775710658
379,Trooper,64918.92,29,M,WHITE,6.472412164520832
380,"Sergeant, Public Safety",86494.92,50,M,WHITE,23.277685373416293
381,Trooper,53241.96,25,F,HISPA,4.479215863433199
382,"Sergeant, Public Safety",80820.96,40,F,HISPA,16.08520366605748
383,"Sergeant, Public Safety",72711.0,32,M,HISPA,9.37733149893564
384,Trooper,53241.96,24,M,HISPA,3.4826177128893816
385,Corporal,75967.92,46,M,WHITE,10.354764300430537
386,Trooper,64918.92,37,F,HISPA,3.6167751562318187
387,Trooper,53241.96,43,M,HISPA,3.808428646721014
388,Corporal,75967.92,42,M,WHITE,19.33509928335284
389,Trooper,53241.96,24,F,WHITE,3.98091678816129
390,Trooper,72612.96,41,M,WHITE,18.19886787545261
391,Trooper,64918.92,36,M,WHITE,3.6167751562318187
392,Trooper,64918.92,35,M,HISPA,6.472412164520832
393,Corporal,53241.96,33,F,ASIAN,7.469010315064649
394,"Sergeant, Public Safety",77638.92,38,M,HISPA,13.793575501208101
395,Trooper,79323.0,67,M,HISPA,16.91752739618199
396,Trooper,53241.96,25,F,HISPA,5.974113089248924
397,"Sergeant, Public Safety",77638.92,39,M,HISPA,12.260347577294537
398,Corporal,64918.92,29,M,HISPA,7.469010315064649
399,"Sergeant, Public Safety",84390.96,43,M,HISPA,21.26532372327974
400,Trooper,53241.96,35,M,HISPA,4.805026797264831
401,Trooper,64918.92,35,M,HISPA,7.945406134280649
402,Trooper,53241.96,25,M,HISPA,3.98091678816129
403,"Lieutenant, Public Safety",95191.92,47,M,BLACK,25.17231702225234
404,Trooper,64918.92,30,M,HISPA,6.970711239792741
405,Trooper,69540.96,39,M,HISPA,13.946898293599459
406,Trooper,53241.96,38,M,WHITE,5.974113089248924
407,"Sergeant, Public Safety",72711.0,29,M,HISPA,8.085039391637062
408,Trooper,64918.92,36,M,BLACK,7.945406134280649
409,Trooper,69540.96,37,F,HISPA,13.256945727838353
410,Corporal,79323.0,53,M,HISPA,24.846506088420707
411,Trooper,64918.92,30,M,HISPA,5.533310061123774
412,Trooper,75967.92,41,M,WHITE,18.58765067044498
413,Trooper,79323.0,43,F,WHITE,23.277685373416293
414,Trooper,53241.96,28,M,BLACK,3.4826177128893816
415,Trooper,64918.92,31,M,HISPA,5.533310061123774
416,Trooper,64918.92,30,F,HISPA,8.443705209552558
417,Corporal,79323.0,50,M,WHITE,23.277685373416293
418,Trooper,64918.92,28,M,WHITE,7.945406134280649
419,Corporal,72612.96,43,M,WHITE,14.828504349849757
420,Trooper,69540.96,41,M,WHITE,13.793575501208101
421,"Lieutenant, Public Safety",85776.96,31,F,WHITE,11.762048502022628
422,Trooper,72612.96,57,M,HISPA,16.244002272462815
423,Trooper,64918.92,35,M,HISPA,10.094663134766627
424,Corporal,69540.96,41,M,HISPA,13.793575501208101
425,Trooper,64918.92,30,M,HISPA,5.533310061123774
426,Trooper,53241.96,26,M,HISPA,3.98091678816129
427,Trooper,64918.92,31,F,HISPA,8.936528470810488
428,Trooper,69540.96,37,M,WHITE,12.260347577294537
429,Trooper,64918.92,27,M,WHITE,6.970711239792741
430,Trooper,72612.96,36,M,WHITE,14.828504349849757
431,Trooper,69540.96,38,M,WHITE,13.793575501208101
432,Trooper,53241.96,24,M,HISPA,3.98091678816129
433,Corporal,64918.92,37,M,HISPA,5.533310061123774
434,Trooper,53241.96,25,F,HISPA,4.977514938705107
435,Trooper,53241.96,25,M,HISPA,3.4826177128893816
436,Trooper,64918.92,29,M,HISPA,3.6167751562318187
437,Trooper,64918.92,32,M,HISPA,8.936528470810488
438,Trooper,72612.96,45,M,HISPA,17.840202057537116
439,Trooper,53241.96,26,F,HISPA,4.977514938705107
440,Trooper,64918.92,32,M,HISPA,5.533310061123774
441,Trooper,53241.96,27,F,HISPA,4.306727721992923
442,Trooper,53241.96,23,M,HISPA,3.98091678816129
443,Trooper,79323.0,56,M,HISPA,31.305228717906598
444,Corporal,64918.92,36,M,HISPA,8.443705209552558
445,Trooper,75967.92,45,M,WHITE,18.98464718645831
446,Trooper,53241.96,25,M,BLACK,3.4826177128893816
447,Trooper,69540.96,34,M,HISPA,13.946898293599459
448,Trooper,75967.92,46,M,HISPA,21.26532372327974
449,Trooper,53241.96,29,M,HISPA,4.479215863433199
450,Trooper,53241.96,36,M,HISPA,5.974113089248924
451,Trooper,72612.96,57,F,WHITE,14.828504349849757
452,Trooper,53241.96,36,M,WHITE,4.805026797264831
453,Trooper,64918.92,42,M,WHITE,9.826348248081754
454,Trooper,72612.96,42,M,WHITE,17.840202057537116
455,Trooper,64918.92,27,M,WHITE,8.443705209552558
456,Trooper,64918.92,29,M,HISPA,7.945406134280649
457,Trooper,53241.96,25,M,ASIAN,3.4826177128893816
458,Trooper,64918.92,34,M,WHITE,7.715421945693614
459,Trooper,53241.96,26,M,HISPA,4.805026797264831
460,Trooper,69540.96,40,M,HISPA,13.793575501208101
